id,name,price,image,description,rating,deliveryDays,category
1,Lavender Drift,139,/images/lavender-drift.png,I promise to write something meaningful here.,5,2,peace patience
2,Sage & Serenity,139,/images/sage+serenity.png,I promise to write something meaningful here.,5,2,peace patience
3,Eucalyptus Rain,129,/images/eucalyptus-rain.png,I promise to write something meaningful here.,5,2,peace patience
4,Wildflower Whisper,129,/images/wildflower-whisper.png,I promise to write something meaningful here.,5,2,peace patience
5,Amber Glove,139,/images/amberglove.png,I promise to write something meaningful here.,5,2,peace patience
6,Vanilla Ember,139,/images/vanilla.jpeg,I promise to write something meaningful here.,5,2,peace patience
7,Cinnamon Frost,129,/images/lavender-drift.png,I promise to write something meaningful here.,5,2,peace patience
8,Honey Glow,129,/images/sage+serenity.png,I promise to write something meaningful here.,5,2,peace patience
9,Caramel Ember,139,/images/eucalyptus-rain.png,I promise to write something meaningful here.,5,2,peace patience
10,Sugar + Sandalwood,139,/images/lavender-drift.png,I promise to write something meaningful here.,5,2,peace patience
11,Moonlit Musk,129,/images/moonlit_musk.png,I promise to write something meaningful here.,5,2,peace patience
12,Cloud Nine,129,/images/eucalyptus-rain.png,I promise to write something meaningful here.,5,2,peace patience
13,Whisper Calm,139,/images/lavender-drift.png,I promise to write something meaningful here.,5,2,peace patience
14,Bare Bloom,139,/images/sage+serenity.png,I promise to write something meaningful here.,5,2,peace patience
15,Silent Hour,129,/images/eucalyptus-rain.png,I promise to write something meaningful here.,5,2,peace patience
16,Autumn Dusk,129,/images/lavender-drift.png,I promise to write something meaningful here.,5,2,peace patience
17,Winter Rose,139,/images/sage+serenity.png,I promise to write something meaningful here.,5,2,peace patience
18,Spring Linen,139,/images/eucalyptus-rain.png,I promise to write something meaningful here.,5,2,peace patience
19,Summer Driftwood,129,/images/summerwood_drift.png,I promise to write something meaningful here.,5,2,peace patience
20,Fireside Fig,129,/images/fireside_fig.png,I promise to write something meaningful here.,5,2,peace patience
21,Solace,139,/images/eucalyptus-rain.png,I promise to write something meaningful here.,5,2,peace patience
22,Ember,139,/images/lavender-drift.png,I promise to write something meaningful here.,5,2,peace patience
23,Lune,129,/images/sage+serenity.png,I promise to write something meaningful here.,5,2,peace patience
24,Bloom,129,/images/eucalyptus-rain.png,I promise to write something meaningful here.,5,2,peace patience
25,Drift,139,/images/lavender-drift.png,I promise to write something meaningful here.,5,2,peace patience
26,Noir,139,/images/noir.png,I promise to write something meaningful here.,5,2,peace patience